,MAE,RMSE,MAPE
strike,5302.22925,5460.292240188477,778420.8950940386
last_trade,9.00328,21.93228337633818,25.05421515335345
bid,1.2315,4.084912789766755,11.032485475782634
ask,1.2315000000000005,4.0849127897667525,11.032485475782636
mid,0.0,0.0,0.0
BS,0.531109252318842,1.0755920391608926,0.7794946342394735
BT,0.59502052370812,1.4166466977466272,0.7916481135700575
MC,0.5546251907636165,1.1202456146631241,0.7850279691808555
Random Forest_ML,2.5740265117805037,8.963547637127048,111.94335691674824
XGBoost_ML,2.439213513921387,11.198930655046354,56.266374390114635
Linear Regression_ML,47.730381884363304,70.58794968749051,5229.032031759754
SVR_ML,14.235408829598288,36.8133913454823,865.4875292239274
Gradient Boosting_ML,3.1637887065241155,10.252140829464444,96.93458618265686
